path,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,nacionalidad,ced,cedula,fecha_nacimiento,lugar_nacimiento,etado_civil,sexo,parroquia,avenida,casa,numero_casa,telefono_local,telefono_movil1,telefono_movil2,telefono_familiar,otro_telefono,correo,facebok,instagram,twitter,linkedin,otra_red,hijos,persona_cargo,nivel_instruccion,situacion_actual_estudio,situacion_laboral_inicial,experiencia_laboral
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Andres,Freitez,S,Venezolano(a),1712,Venezolano(a),08/16/1966,Tocuyo,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,Jose,Linares,S,Venezolano(a),1812,Venezolano(a),08/16/1967,Quibor,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Daniela,Rodriguez,S,Venezolano(a),1912,Venezolano(a),08/16/1968,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,David,Pacheco,S,Venezolano(a),2012,Venezolano(a),08/16/1969,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Maria,Sira,S,Venezolano(a),2112,Venezolano(a),08/16/1970,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,Magdalena,Loazida,S,Venezolano(a),2212,Venezolano(a),08/16/1971,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Rosa,Mario,Gil,S,Venezolano(a),2312,Venezolano(a),08/16/1972,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Carmen,Rafael,Tovar,S,Venezolano(a),2412,Venezolano(a),08/16/1973,Tocuyo,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Jose,Andres,Freitez,S,Venezolano(a),2512,Venezolano(a),08/16/1974,Quibor,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Mario,Jose,Linares,S,Venezolano(a),2612,Venezolano(a),08/16/1975,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Daniela,Rodriguez,S,Venezolano(a),2712,Venezolano(a),08/16/1976,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,David,Pacheco,S,Venezolano(a),2812,Venezolano(a),08/16/1977,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Maria,Sira,S,Venezolano(a),2912,Venezolano(a),08/16/1978,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,Magdalena,Loazida,S,Venezolano(a),3012,Extranjero(a),08/16/1979,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
